iter	Logloss
0	0.6807371209
1	0.6686271307
2	0.6579339897
3	0.6459460319
4	0.6350487165
5	0.6254864425
6	0.6153272999
7	0.606776206
8	0.5998085635
9	0.5929582437
10	0.5859980223
11	0.578641255
12	0.5709562306
13	0.564354416
14	0.5578266205
15	0.551900689
16	0.5472132419
17	0.5418053479
18	0.5368435852
19	0.5322818112
20	0.5285875826
21	0.5234931996
22	0.5189955953
23	0.5154270643
24	0.5116997987
25	0.5081426433
26	0.5052530944
27	0.5018868208
28	0.4985215952
29	0.4949015379
30	0.4919890385
31	0.4889084037
32	0.4863337867
33	0.4837273648
34	0.4815407577
35	0.4792697235
36	0.4766160749
37	0.4745023353
38	0.4725107753
39	0.4700704154
40	0.4682615507
41	0.466006618
42	0.4645002658
43	0.4627881806
44	0.4607576915
45	0.4591475062
46	0.4575725736
47	0.4560621362
48	0.4548826427
49	0.4533488107
50	0.4521481997
51	0.4506844331
52	0.4493412302
53	0.4479859788
54	0.4467228364
55	0.4456801331
56	0.4444354377
57	0.4430756159
58	0.4419893441
59	0.4410273215
60	0.4397784876
61	0.4389216584
62	0.4380844416
63	0.4372721436
64	0.4364569529
65	0.4356560006
66	0.4347792021
67	0.4339617096
68	0.4333185875
69	0.4325503644
70	0.4317807834
71	0.4310358414
72	0.4303002514
73	0.4297988838
74	0.42905497
75	0.4285239227
76	0.4279079414
77	0.4272797437
78	0.426698355
79	0.4262278838
80	0.4256232984
81	0.4250049422
82	0.4243158561
83	0.4238417152
84	0.4232735319
85	0.4227605807
86	0.4223229309
87	0.4218111953
88	0.4214137529
89	0.4208839657
90	0.4204735712
91	0.4200329571
92	0.4194485576
93	0.4191001173
94	0.418724697
95	0.4183357654
96	0.4178575118
97	0.4172561211
98	0.4168788435
99	0.41642891
100	0.4156928668
101	0.415369866
102	0.4148951868
103	0.4145928079
104	0.4142081678
105	0.4139392595
106	0.4136766907
107	0.4133574392
108	0.413008637
109	0.4127345321
110	0.4125530905
111	0.4122225524
112	0.4118597937
113	0.4114029942
114	0.4109190877
115	0.4107986227
116	0.4105522008
117	0.4103229638
118	0.4099641695
119	0.4096446875
120	0.4094354784
121	0.4092561425
122	0.4090441217
123	0.4088029415
124	0.4085916915
125	0.4081722415
126	0.4078514546
127	0.4076638664
128	0.4074055363
129	0.4072323582
130	0.4069754379
131	0.4067850536
132	0.406622949
133	0.4063235183
134	0.406033636
135	0.4058314762
136	0.4056783105
137	0.4055623988
138	0.4052522463
139	0.4049123303
140	0.4047693918
141	0.4045880459
142	0.4044210544
143	0.4042524596
144	0.4040788364
145	0.4038164223
146	0.4036847873
147	0.4034600108
148	0.4032994795
149	0.4031122465
150	0.4029342612
151	0.4026638997
152	0.4024660221
153	0.4022963182
154	0.4020584398
155	0.4019365508
156	0.4018311364
157	0.401534493
158	0.401379089
159	0.4011897194
160	0.4010102675
161	0.400853874
162	0.4006850034
163	0.4005143655
164	0.4003647674
165	0.4002203095
166	0.4000332476
167	0.3998960311
168	0.3996745027
169	0.3994929615
170	0.399320774
171	0.3991663387
172	0.3990618838
173	0.39892854
174	0.3988004443
175	0.3986717547
176	0.3985614014
177	0.3984264401
178	0.3983029389
179	0.398202159
180	0.3980748778
181	0.3979853541
182	0.397871652
183	0.3976773689
184	0.3976043207
185	0.3974474342
186	0.3973457618
187	0.3971762933
188	0.3971031245
189	0.3970323533
190	0.3969084445
191	0.3967624022
192	0.3966315819
193	0.3965322639
194	0.3964214125
195	0.3963696959
196	0.3961899138
197	0.3960662712
198	0.3959170701
199	0.3958194195
200	0.3956558711
201	0.3955363494
202	0.3954549648
203	0.3953704353
204	0.3952672582
205	0.395176732
206	0.3950816304
207	0.3949765752
208	0.3948724198
209	0.3947519701
210	0.3946720417
211	0.3946033722
212	0.3944683535
213	0.3943649041
214	0.3942194975
215	0.3941069893
216	0.3939613011
217	0.3938227663
218	0.3936893206
219	0.3935701458
220	0.3933991555
221	0.3933188311
222	0.3932123865
223	0.393156696
224	0.3930229861
225	0.3929160151
226	0.39284618
227	0.3926285477
228	0.3925417777
229	0.3924637522
230	0.3923479069
231	0.3922468185
232	0.3921482248
233	0.392054633
234	0.3919466592
235	0.3918273707
236	0.3917235716
237	0.3916655847
238	0.3915117314
239	0.39138653
240	0.3913064519
241	0.3912307083
242	0.3911508794
243	0.3910634909
244	0.3909970912
245	0.3908384265
246	0.3907504406
247	0.39065077
248	0.3905360599
249	0.3904284463
250	0.3903693791
251	0.3902765347
252	0.3901279204
253	0.3900437672
254	0.3899711983
255	0.3899070787
256	0.3898363779
257	0.3897619849
258	0.3896913109
259	0.3895593755
260	0.3894716329
261	0.3893754055
262	0.389256941
263	0.3891203982
264	0.3890392443
265	0.3889521822
266	0.388885677
267	0.3888231698
268	0.3887344353
269	0.3886541603
270	0.3886148038
271	0.388469739
272	0.388400529
273	0.3882772696
274	0.3882150329
275	0.3881523775
276	0.3880246234
277	0.3879274189
278	0.3878788839
279	0.3878023477
280	0.3877093052
281	0.3875862464
282	0.3874741766
283	0.3873441309
284	0.3872635797
285	0.3872171326
286	0.3870255635
287	0.3869507398
288	0.3868546872
