iter	Passed	Remaining
0	8	8885
1	15	7758
2	22	7497
3	28	7210
4	52	10478
5	91	15232
6	109	15576
7	116	14451
8	123	13590
9	129	12830
10	135	12189
11	141	11645
12	146	11122
13	154	10914
14	162	10651
15	176	10875
16	182	10566
17	188	10267
18	194	10028
19	201	9851
20	207	9654
21	212	9446
22	220	9371
23	225	9183
24	234	9141
25	240	9017
26	247	8931
27	253	8793
28	259	8682
29	266	8625
30	271	8489
31	277	8379
32	283	8316
33	293	8346
34	299	8270
35	314	8426
36	320	8343
37	334	8468
38	344	8481
39	350	8410
40	358	8376
41	365	8343
42	370	8252
43	376	8187
44	382	8111
45	387	8044
46	393	7975
47	399	7922
48	405	7866
49	410	7799
50	415	7728
51	420	7660
52	425	7611
53	430	7550
54	436	7500
55	441	7439
56	446	7385
57	452	7343
58	457	7296
59	462	7246
60	468	7214
61	476	7206
62	484	7201
63	490	7175
64	496	7142
65	503	7122
66	509	7089
67	521	7141
68	527	7116
69	534	7100
70	539	7058
71	546	7038
72	551	7002
73	556	6969
74	562	6938
75	568	6906
76	575	6903
77	582	6890
78	589	6877
79	595	6850
80	601	6822
81	608	6807
82	615	6801
83	620	6762
84	626	6743
85	631	6711
86	637	6688
87	643	6665
88	648	6635
89	653	6606
90	659	6583
91	666	6576
92	672	6563
93	679	6548
94	685	6526
95	690	6506
96	696	6480
97	702	6463
98	707	6440
99	713	6417
100	718	6397
101	725	6387
102	731	6369
103	737	6354
104	744	6342
105	749	6319
106	755	6303
107	760	6285
108	770	6294
109	776	6284
110	781	6261
111	788	6249
112	793	6226
113	800	6217
114	805	6197
115	809	6171
116	814	6148
117	820	6136
118	827	6126
119	833	6110
120	838	6090
121	844	6078
122	849	6060
123	855	6047
124	860	6025
125	865	6007
126	870	5986
127	876	5969
128	882	5960
129	887	5941
130	894	5931
131	900	5919
132	905	5901
133	911	5892
134	917	5878
135	924	5872
136	929	5856
137	934	5837
138	939	5820
139	945	5806
140	950	5791
141	955	5773
142	961	5763
143	966	5746
144	971	5725
145	980	5733
146	987	5727
147	993	5717
148	998	5702
149	1004	5694
150	1011	5685
151	1016	5670
152	1021	5653
153	1027	5644
154	1032	5631
155	1040	5628
156	1045	5612
157	1050	5596
158	1056	5586
159	1061	5570
160	1066	5559
161	1073	5553
162	1078	5539
163	1084	5528
164	1091	5522
165	1096	5507
166	1104	5507
167	1109	5495
168	1114	5481
169	1120	5468
170	1125	5458
171	1130	5443
172	1136	5431
173	1140	5415
174	1146	5403
175	1151	5389
176	1156	5378
177	1162	5366
178	1169	5363
179	1175	5352
180	1180	5341
181	1187	5335
182	1194	5332
183	1200	5324
184	1206	5313
185	1212	5304
186	1218	5299
187	1229	5310
188	1235	5301
189	1240	5289
190	1246	5281
191	1251	5267
192	1257	5256
193	1262	5247
194	1269	5241
195	1274	5227
196	1282	5228
197	1288	5219
198	1294	5209
199	1299	5197
200	1305	5188
201	1312	5183
202	1318	5175
203	1322	5162
204	1329	5157
205	1335	5146
206	1339	5131
207	1345	5122
208	1350	5110
209	1356	5103
210	1362	5096
211	1367	5084
212	1374	5079
213	1380	5071
214	1389	5072
215	1395	5066
216	1401	5057
217	1407	5050
218	1412	5038
219	1418	5029
220	1423	5018
221	1430	5012
222	1436	5005
223	1445	5006
224	1451	4998
225	1456	4987
226	1461	4978
227	1468	4972
228	1474	4965
229	1480	4956
230	1486	4947
231	1492	4940
232	1499	4935
233	1504	4925
234	1510	4918
235	1518	4917
236	1525	4909
237	1531	4901
238	1537	4894
239	1543	4886
240	1550	4884
241	1556	4875
242	1565	4876
243	1570	4865
244	1576	4857
245	1582	4851
246	1587	4840
247	1592	4827
248	1599	4822
249	1605	4817
250	1611	4807
251	1616	4799
252	1623	4794
253	1630	4787
254	1637	4783
255	1645	4780
256	1651	4775
257	1660	4776
258	1666	4768
259	1672	4761
260	1678	4753
261	1684	4743
262	1690	4735
263	1695	4726
264	1700	4716
265	1706	4708
266	1712	4700
267	1721	4700
268	1728	4696
269	1733	4687
270	1739	4679
271	1745	4672
272	1752	4666
273	1758	4659
274	1764	4652
275	1773	4652
276	1779	4644
277	1786	4639
278	1791	4629
279	1797	4620
280	1803	4613
281	1810	4608
282	1822	4618
283	1833	4622
284	1839	4614
285	1844	4605
286	1850	4597
287	1856	4588
288	1862	4581
289	1867	4572
290	1873	4564
291	1879	4557
292	1884	4546
293	1888	4535
294	1894	4527
295	1899	4518
296	1904	4507
297	1909	4499
298	1915	4490
299	1920	4480
300	1924	4469
301	1929	4459
302	1935	4453
303	1941	4444
304	1946	4435
305	1951	4426
306	1957	4418
307	1962	4408
308	1966	4398
309	1970	4386
310	1976	4378
311	1980	4367
312	1984	4356
313	1990	4349
314	1995	4339
315	2000	4330
316	2006	4322
317	2011	4313
318	2016	4305
319	2021	4296
320	2026	4285
321	2031	4276
322	2037	4270
323	2042	4262
324	2048	4254
325	2053	4245
326	2057	4235
327	2063	4226
328	2069	4220
329	2073	4210
330	2078	4201
331	2084	4194
332	2090	4186
333	2094	4177
334	2100	4169
335	2105	4161
336	2111	4153
337	2117	4147
338	2123	4141
339	2130	4136
340	2136	4129
341	2141	4121
342	2146	4112
343	2151	4103
344	2156	4094
345	2163	4089
346	2168	4081
347	2173	4072
348	2180	4067
349	2185	4058
