iter	Passed	Remaining
0	4	4195
1	8	4176
2	13	4498
3	18	4702
4	29	5790
5	33	5561
6	37	5362
7	43	5392
8	48	5297
9	52	5179
10	57	5155
11	63	5203
12	67	5106
13	71	5042
14	77	5075
15	81	4985
16	85	4958
17	91	4985
18	95	4927
19	99	4895
20	107	4999
21	112	5008
22	118	5013
23	127	5168
24	131	5125
25	138	5196
26	144	5215
27	148	5171
28	155	5210
29	159	5165
30	164	5134
31	171	5198
32	176	5168
33	180	5116
34	186	5128
35	190	5100
36	194	5051
37	200	5072
38	205	5065
39	209	5034
40	216	5058
41	220	5032
42	224	4990
43	229	4984
44	233	4963
45	238	4936
46	240	4885
47	245	4874
48	250	4857
49	254	4828
50	258	4808
51	263	4807
52	267	4782
53	272	4769
54	278	4786
55	282	4770
56	287	4755
57	293	4761
58	298	4752
59	302	4734
60	306	4720
61	311	4711
62	315	4694
63	319	4672
64	325	4677
65	329	4667
66	334	4663
67	339	4658
68	344	4650
69	349	4638
70	352	4615
71	357	4607
72	361	4593
73	365	4571
74	369	4559
75	374	4554
76	379	4547
77	388	4586
78	392	4577
79	396	4560
80	401	4553
81	407	4559
82	410	4540
83	414	4517
84	420	4523
85	424	4514
86	428	4499
87	433	4494
88	437	4475
89	441	4464
90	445	4449
91	450	4443
92	454	4435
93	459	4426
94	463	4415
95	469	4418
96	472	4397
97	476	4382
98	480	4376
99	486	4376
100	489	4360
101	493	4343
102	498	4338
103	502	4331
104	506	4316
105	510	4303
106	515	4305
107	520	4297
108	523	4282
109	527	4271
110	533	4273
111	537	4259
112	540	4245
113	545	4239
114	549	4230
115	554	4222
116	558	4211
117	564	4218
118	568	4210
119	572	4197
120	577	4197
121	581	4185
122	585	4173
123	589	4162
124	594	4159
125	598	4152
126	603	4145
127	606	4135
128	612	4137
129	616	4126
130	620	4117
131	626	4119
132	630	4110
133	634	4097
134	637	4085
135	642	4082
136	646	4071
137	649	4059
138	653	4050
139	658	4047
140	662	4037
141	666	4026
142	670	4019
143	674	4008
144	677	3996
145	680	3982
146	685	3980
147	689	3970
148	693	3958
149	696	3946
150	701	3945
151	705	3933
152	708	3922
153	711	3911
154	716	3905
155	720	3897
156	724	3888
157	727	3878
158	730	3865
159	734	3857
160	737	3844
161	740	3832
162	744	3821
163	747	3812
164	751	3802
165	754	3789
166	758	3783
167	762	3775
168	766	3770
169	769	3758
170	774	3752
171	777	3740
172	780	3732
173	783	3721
174	786	3709
175	789	3697
176	792	3684
177	796	3676
178	799	3666
179	803	3658
180	806	3649
181	810	3640
182	815	3642
183	819	3635
184	822	3623
185	825	3612
186	830	3611
187	834	3604
188	837	3594
189	840	3583
190	843	3572
191	846	3564
192	849	3552
193	852	3541
194	855	3530
195	859	3527
196	864	3525
197	867	3514
198	870	3504
199	873	3494
200	878	3493
201	881	3483
202	884	3472
203	887	3463
